,winloss,championPlayed,kills,deaths,assists
566,1,30,10,4,11
567,1,131,9,2,10
568,1,107,2,5,3
569,1,89,2,3,21
570,1,526,2,4,21
571,1,18,13,4,10
572,1,69,9,6,13
573,1,2,6,3,21
574,1,20,13,6,13
575,0,134,4,11,4
576,0,81,0,11,6
577,0,58,6,9,3
578,0,876,9,7,5
579,0,350,3,5,11
580,0,150,3,5,3
581,0,111,1,6,5
582,0,876,2,5,5
583,0,21,0,9,2
584,0,56,7,9,3
585,1,432,3,3,18
586,1,141,17,2,7
587,1,15,4,2,11
588,1,106,3,4,6
589,1,518,7,2,10
590,1,64,5,0,3
591,1,58,0,0,7
592,1,103,6,0,2
593,1,22,2,0,3
594,1,147,0,1,5
595,0,43,0,5,0
596,0,89,1,1,0
597,0,876,0,2,0
598,0,236,0,2,0
599,0,157,0,3,1
600,1,1,6,4,13
601,1,12,2,5,21
602,1,64,10,4,14
603,1,18,12,5,12
604,1,150,9,5,6
605,0,432,3,7,12
606,0,69,10,8,4
607,0,421,4,8,7
608,0,142,2,7,9
609,0,81,4,9,5
610,1,120,6,0,11
611,1,29,9,4,6
612,1,134,4,3,3
613,1,54,10,1,6
614,1,526,3,1,18
615,0,131,2,7,0
616,0,96,3,7,3
617,0,126,1,4,0
618,0,40,2,7,3
619,0,107,1,7,3
620,1,115,5,0,2
621,1,43,2,0,0
622,1,875,1,0,5
623,1,203,0,0,4
624,1,236,5,1,3
625,0,21,0,3,0
626,0,157,0,1,0
627,0,876,0,2,0
628,0,777,0,4,0
629,0,12,0,3,0
630,0,429,0,8,5
631,0,4,1,2,1
632,0,876,1,6,2
633,0,80,4,6,2
634,0,92,2,5,0
635,1,120,4,0,11
636,1,15,8,1,6
637,1,142,8,2,5
638,1,526,2,3,10
639,1,43,5,2,5
640,1,54,3,3,14
641,1,80,9,3,10
642,1,50,8,1,11
643,1,77,6,2,13
644,1,91,7,3,5
645,0,28,5,9,1
646,0,92,4,3,3
647,0,497,1,3,8
648,0,498,2,7,5
649,0,126,0,11,1
650,0,81,1,7,1
651,0,62,1,7,4
652,0,876,5,7,5
653,0,432,0,7,6
654,0,92,5,5,1
655,1,126,5,3,6
656,1,526,3,4,16
657,1,15,8,0,10
658,1,131,8,2,7
659,1,107,9,3,9
660,1,104,1,2,12
661,1,526,2,6,16
662,1,18,14,4,8
663,1,245,9,4,6
664,1,126,4,6,7
665,0,39,7,7,7
666,0,81,2,7,6
667,0,43,1,4,15
668,0,120,7,4,9
669,0,85,5,9,5
670,1,145,11,6,3
671,1,876,5,1,8
672,1,12,1,5,19
673,1,150,6,6,11
674,1,131,8,0,9
675,0,20,1,6,6
676,0,141,6,7,1
677,0,526,0,5,8
678,0,69,7,9,4
679,0,267,4,4,10
680,1,81,5,4,5
681,1,142,5,0,7
682,1,96,11,5,6
683,1,235,2,4,12
684,1,266,7,3,9
685,0,145,4,3,6
686,0,39,2,8,3
687,0,555,5,7,4
688,0,268,0,3,2
689,0,60,5,9,6
690,0,2,9,9,11
691,0,134,7,9,10
692,0,114,5,10,6
693,0,79,6,3,14
694,0,145,10,8,8
695,1,245,11,9,7
696,1,64,9,4,14
697,1,12,1,8,19
698,1,133,7,13,8
699,1,18,11,3,12
700,1,51,10,3,14
701,1,38,10,9,12
702,1,432,5,4,24
703,1,79,3,1,17
