,winloss,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,csDiffPerMin,xpDiffPerMin,duration
5909,0,202,12,5,11,15826,0,1,31,"{'10-20': -0.7000000000000002, '0-10': -0.6500000000000004, '30-end': -1.1000000000000005, '20-30': 2.220446049250313e-16}","{'10-20': -3.099999999999966, '0-10': 40.75, '30-end': -369.6, '20-30': 23.850000000000023}",2140
5910,0,120,6,5,8,10765,0,0,27,"{'10-20': -0.5, '0-10': -1.1}","{'10-20': -124.40000000000003, '0-10': -99.5}",1648
5911,0,164,6,5,3,11787,0,2,17,{'0-10': 0},{'0-10': 0},1648
5912,0,53,0,8,12,6415,0,0,56,"{'10-20': 0.7499999999999998, '0-10': 1.1999999999999997}","{'10-20': 165.04999999999998, '0-10': -8.5}",1648
5913,0,13,7,6,12,12414,0,0,31,{'0-10': 0},{'0-10': 0},1648
5914,0,145,8,3,12,12289,0,1,33,"{'10-20': 0.7499999999999998, '0-10': 1.1999999999999997}","{'10-20': 165.04999999999998, '0-10': -8.5}",1648
5915,1,39,14,4,3,15865,1,2,15,{'0-10': 0},{'0-10': 0},1648
5916,1,21,4,9,6,9677,0,3,18,"{'10-20': -0.7499999999999998, '0-10': -1.1999999999999997}","{'10-20': -165.04999999999998, '0-10': 8.5}",1648
5917,1,43,1,5,16,7560,0,0,64,"{'10-20': -0.7499999999999998, '0-10': -1.1999999999999997}","{'10-20': -165.04999999999998, '0-10': 8.5}",1648
5918,1,3,1,6,13,8211,0,0,43,{'0-10': 0},{'0-10': 0},1648
5919,1,36,7,4,5,12738,0,3,15,"{'10-20': 0.5, '0-10': 1.1}","{'10-20': 124.40000000000003, '0-10': 99.5}",1648
5920,0,35,3,7,11,7777,0,0,20,"{'10-20': -0.8999999999999999, '0-10': 0.1}","{'10-20': 10.499999999999972, '0-10': -62.29999999999997}",1579
5921,0,112,5,4,6,10596,0,0,20,"{'10-20': 1.4, '0-10': -0.8000000000000003}","{'10-20': 3.1000000000000227, '0-10': 30.60000000000005}",1579
